Date,Open,High,Low,Close,Adj Close,Volume
2022-06-16,31.100000,31.200001,30.000000,30.100000,29.117155,1341027
2022-06-17,29.950001,30.500000,29.900000,30.200001,29.213890,1243757
2022-06-20,30.000000,30.200001,29.049999,29.250000,28.294910,1486357
2022-06-21,29.049999,30.200001,29.049999,30.049999,29.068787,933469
2022-06-22,30.150000,30.250000,29.549999,30.100000,29.117155,1065904
2022-06-23,30.450001,30.700001,29.900000,30.100000,29.117155,921762
2022-06-24,30.549999,30.549999,30.100000,30.200001,29.213890,730577
2022-06-27,30.549999,30.650000,30.350000,30.450001,29.455729,894930
2022-06-28,30.500000,30.500000,30.250000,30.400000,29.407360,471283
2022-06-29,30.200001,30.350000,30.000000,30.100000,29.117155,698214
2022-06-30,30.100000,30.299999,29.900000,30.000000,29.020420,565456
2022-07-01,30.100000,30.250000,29.799999,30.000000,29.020420,763473
2022-07-04,30.200001,30.350000,29.950001,30.250000,29.262257,725497
2022-07-05,30.350000,30.600000,30.000000,30.250000,29.262257,712911
2022-07-06,30.299999,30.500000,30.000000,30.400000,29.407360,737910
2022-07-07,30.450001,30.750000,30.400000,30.600000,29.600828,1009691
2022-07-08,30.700001,31.100000,30.600000,30.900000,29.891033,1339884
2022-07-11,31.000000,31.150000,30.799999,31.000000,29.987768,998263
2022-07-12,31.000000,32.349998,30.850000,31.549999,30.519808,2837135
2022-07-13,31.850000,31.950001,30.850000,30.950001,29.939402,1319761
2022-07-14,31.100000,31.250000,30.600000,30.700001,29.697563,639863
2022-07-15,30.799999,30.900000,30.250000,30.500000,29.504095,788658
2022-07-18,30.500000,31.200001,30.500000,30.950001,29.939402,963681
2022-07-19,30.900000,31.200001,30.750000,30.900000,29.891033,661213
2022-07-20,31.200001,31.850000,30.450001,30.650000,29.649197,2787359
2022-07-21,30.700001,31.049999,30.549999,30.900000,29.891033,869370
2022-07-22,31.100000,31.400000,30.900000,30.950001,29.939402,1544044
2022-07-25,31.100000,31.100000,30.750000,30.850000,29.842665,606923
2022-07-26,30.900000,31.000000,30.650000,30.799999,29.794298,576358
2022-07-27,30.700001,31.150000,30.650000,31.000000,29.987768,1054046
2022-07-28,31.150000,31.200001,30.900000,30.950001,29.939402,956274
2022-07-29,31.049999,31.400000,30.900000,30.950001,29.939402,1388156
2022-08-01,31.100000,31.950001,31.000000,31.100000,30.084503,4079919
2022-08-02,31.200001,31.500000,30.850000,31.000000,29.987768,3214085
2022-08-03,31.000000,31.450001,30.900000,31.000000,29.987768,2400261
2022-08-04,31.200001,31.500000,30.900000,30.950001,29.939402,2218873
2022-08-05,31.000000,31.250000,30.850000,30.950001,29.939402,1769505
2022-08-08,31.150000,31.299999,30.900000,31.100000,30.084503,2191796
2022-08-10,31.299999,31.400000,31.100000,31.200001,30.181238,1332591
2022-08-11,31.549999,31.750000,30.850000,31.000000,29.987768,3477682
2022-08-12,30.950001,31.100000,30.900000,30.950001,29.939402,1771097
2022-08-16,31.049999,31.150000,30.950001,31.000000,29.987768,1458420
2022-08-17,31.150000,31.250000,31.049999,31.200001,30.181238,1508868
2022-08-18,31.250000,31.450001,31.000000,31.200001,30.181238,1710594
2022-08-19,31.299999,31.600000,31.100000,31.150000,30.132870,2359422
2022-08-22,31.200001,31.200001,30.799999,30.900000,29.891033,1451765
2022-08-23,30.700001,30.850000,30.549999,30.700001,29.697563,1363705
2022-08-24,30.750000,30.900000,30.700001,30.750000,29.745930,1099617
2022-08-25,30.900000,32.099998,30.799999,31.549999,30.519808,5246018
2022-08-26,31.650000,32.599998,31.600000,32.299999,31.245317,4678312
2022-08-29,31.750000,33.400002,31.500000,32.849998,31.777359,7743208
2022-08-30,33.250000,33.400002,32.750000,32.900002,31.825729,3235596
2022-09-01,32.799999,33.500000,32.750000,32.950001,31.874096,3952351
2022-09-02,33.099998,33.750000,32.549999,32.799999,31.728991,5567164
2022-09-05,32.799999,33.400002,32.799999,32.950001,31.874096,3000913
2022-09-06,33.099998,33.299999,32.799999,32.900002,31.825729,1834375
2022-09-07,32.700001,34.000000,32.599998,33.150002,32.067566,6048592
2022-09-08,33.299999,34.000000,33.200001,33.599998,32.502869,6298511
2022-09-09,33.900002,34.700001,33.549999,33.849998,32.744709,6694021
2022-09-12,34.250000,34.500000,33.900002,34.000000,32.889809,3412159
2022-09-13,34.150002,34.700001,33.950001,34.500000,33.373482,3905232
2022-09-14,33.900002,34.549999,33.599998,34.150002,33.034912,3798975
2022-09-15,34.299999,34.400002,33.849998,33.950001,32.841438,2059941
2022-09-16,34.000000,34.250000,33.549999,33.799999,32.696339,4177796
2022-09-19,34.000000,34.700001,33.700001,34.200001,33.083279,3933196
2022-09-20,34.500000,34.799999,34.299999,34.549999,33.421848,5931476
2022-09-21,34.549999,35.750000,34.549999,34.849998,33.712051,6643770
2022-09-22,34.500000,36.250000,34.450001,36.049999,35.124840,9844917
